Old Greenwich,Drive: 1 hour 0 mins,Train: 1 hour 35 mins
Greenwich,Drive: 56 mins,Train: 1 hour 15 mins
Darien,Drive: 1 hour 5 mins,Train: 1 hour 27 mins
NC,Drive: 1 hour 12 mins,Train: 1 hour 50 mins
Rye,Drive: 53 mins,Train: 1 hour 20 mins
Old Greenwich,Drive: 1 hour 0 mins,Train: 1 hour 35 mins
Greenwich,Drive: 56 mins,Train: 1 hour 15 mins
Darien,Drive: 1 hour 5 mins,Train: 1 hour 27 mins
NC,Drive: 1 hour 12 mins,Train: 1 hour 50 mins
Rye,Drive: 53 mins,Train: 1 hour 20 mins
Old Greenwich,Drive: 1 hour 0 mins,Train: 1 hour 35 mins,Time: 2017-08-04 15:30:01.489090
Greenwich,Drive: 56 mins,Train: 1 hour 15 mins,Time: 2017-08-04 15:30:01.885850
Darien,Drive: 1 hour 5 mins,Train: 1 hour 27 mins,Time: 2017-08-04 15:30:02.410442
NC,Drive: 1 hour 12 mins,Train: 1 hour 50 mins,Time: 2017-08-04 15:30:02.799484
Rye,Drive: 53 mins,Train: 1 hour 20 mins,Time: 2017-08-04 15:30:03.343790
